StoreNumber,Department,SubClass,Price_Status,Stcl on stock_prevweek2,Last pieces_prevweek2,Stcl on salesfloor_prevweek2,Stcl on backroom_prevweek2,Stcl on stock_prevweek1,Last pieces_prevweek1,Stcl on salesfloor_prevweek1,Stcl on backroom_prevweek1
3112004,ladies' HOUSE,coats,Regular,6,0,4,2,8,2,6,2
3112004,ladies' HOUSE,dresses_knitted,Regular,12,1,7,5,13,0,7,6
3112004,ladies' HOUSE,dresses_woven,Regular,13,1,6,7,13,1,2,11
3112004,ladies' HOUSE,jackets,Regular,6,2,6,0,6,2,6,0
3112004,ladies' HOUSE,jeans_shorts,Regular,5,0,4,1,3,0,1,1
3112004,ladies' HOUSE,jeans_trousers,Regular,56,10,46,8,65,7,55,9
3112004,ladies' HOUSE,jogging_tops,Regular,36,3,33,3,45,2,40,5
3112004,ladies' HOUSE,outer_jackets,Regular,22,1,15,5,29,2,22,5
3112004,ladies' HOUSE,polar_fleecy,Regular,1,0,1,0,3,0,3,0
3112004,ladies' HOUSE,shirts_l_s,Regular,14,1,11,3,13,2,10,3
3112004,ladies' HOUSE,shirts_s_s,Regular,9,1,4,5,10,1,5,5
3112004,ladies' HOUSE,shorts,Regular,3,0,2,1,2,0,2,0
3112004,ladies' HOUSE,skirts,Regular,24,3,16,6,22,3,17,5
3112004,ladies' HOUSE,sweaters,Regular,28,3,19,9,43,3,34,9
3112004,ladies' HOUSE,t-shirts_l_s,Regular,32,5,27,4,44,2,33,11
3112004,ladies' HOUSE,t-shirts_s_s,Regular,76,14,61,12,95,12,68,22
3112004,ladies' HOUSE,t-shirts_sleeveless,Regular,5,0,4,1,5,0,2,3
3112004,ladies' HOUSE,trousers,Regular,46,6,28,17,49,4,28,20
3112004,men's HOUSE,coats,Regular,0,0,0,0,0,2,0,0
3112004,men's HOUSE,jackets,Regular,7,1,3,4,8,1,4,4
3112004,men's HOUSE,jeans_jacket,Regular,3,0,3,0,3,0,3,0
3112004,men's HOUSE,jeans_shorts,Regular,10,5,8,3,9,6,6,3
3112004,men's HOUSE,jeans_trousers,Regular,65,7,51,13,69,11,50,16
3112004,men's HOUSE,jogging_tops,Regular,58,12,45,13,66,11,42,24
3112004,men's HOUSE,outer_jackets,Regular,38,12,27,11,40,14,28,12
3112004,men's HOUSE,polos,Regular,8,0,2,6,8,0,1,7
3112004,men's HOUSE,shirts_l_s,Regular,19,1,12,7,21,1,12,8
3112004,men's HOUSE,shirts_s_s,Regular,2,0,2,0,2,0,2,0
3112004,men's HOUSE,shorts,Regular,6,0,6,0,5,1,3,1
3112004,men's HOUSE,shorts_knitted,Regular,6,0,5,1,7,0,2,2
3112004,men's HOUSE,sweaters,Regular,9,1,7,2,10,2,8,2
3112004,men's HOUSE,t-shirts_l_s,Regular,8,1,6,0,11,1,6,4
3112004,men's HOUSE,t-shirts_s_s,Regular,92,9,74,18,108,9,74,34
3112004,men's HOUSE,t-shirts_s_s_lic,Regular,23,8,21,4,37,7,23,13
3112004,men's HOUSE,trousers,Regular,34,4,21,13,41,4,24,17
3112004,men's HOUSE,trousers_knitted,Regular,18,2,11,6,21,1,3,18
3112020,ladies' HOUSE,coats,Regular,5,3,1,4,8,4,2,6
